records,size,acks,compression,inflight,batch,linger,time,batch-size-avg,batch-size-max,batch-split-rate,batch-split-total,buffer-available-bytes,buffer-exhausted-rate,buffer-exhausted-total,buffer-total-bytes,bufferpool-wait-ratio,bufferpool-wait-time-total,compression-rate-avg,connection-close-rate,connection-close-total,connection-count,connection-creation-rate,connection-creation-total,failed-authentication-rate,failed-authentication-total,failed-reauthentication-rate,failed-reauthentication-total,incoming-byte-rate,incoming-byte-total,io-ratio,io-time-ns-avg,io-wait-ratio,io-wait-time-ns-avg,io-waittime-total,iotime-total,metadata-age,network-io-rate,network-io-total,outgoing-byte-rate,outgoing-byte-total,produce-throttle-time-avg,produce-throttle-time-max,reauthentication-latency-avg,reauthentication-latency-max,record-error-rate,record-error-total,record-queue-time-avg,record-queue-time-max,record-retry-rate,record-retry-total,record-send-rate,record-send-total,record-size-avg,record-size-max,records-per-request-avg,request-latency-avg,request-latency-max,request-rate,request-size-avg,request-size-max,request-total,requests-in-flight,response-rate,response-total,select-rate,select-total,successful-authentication-no-reauth-total,successful-authentication-rate,successful-authentication-total,successful-reauthentication-rate,successful-reauthentication-total,waiting-threads,incoming-byte-rate--2,incoming-byte-rate-1,incoming-byte-rate-2,incoming-byte-rate-3,incoming-byte-total--2,incoming-byte-total-1,incoming-byte-total-2,incoming-byte-total-3,outgoing-byte-rate--2,outgoing-byte-rate-1,outgoing-byte-rate-2,outgoing-byte-rate-3,outgoing-byte-total--2,outgoing-byte-total-1,outgoing-byte-total-2,outgoing-byte-total-3,request-latency-avg--2,request-latency-avg-1,request-latency-avg-2,request-latency-avg-3,request-latency-max--2,request-latency-max-1,request-latency-max-2,request-latency-max-3,request-rate--2,request-rate-1,request-rate-2,request-rate-3,request-size-avg--2,request-size-avg-1,request-size-avg-2,request-size-avg-3,request-size-max--2,request-size-max-1,request-size-max-2,request-size-max-3,request-total--2,request-total-1,request-total-2,request-total-3,response-rate--2,response-rate-1,response-rate-2,response-rate-3,response-total--2,response-total-1,response-total-2,response-total-3,byte-rate,byte-total,compression-rate,record-error-rate,record-error-total,record-retry-rate,record-retry-total,record-send-rate,record-send-total
16384,1024,-1,"snappy",5,0,20,5,1119.000,1119.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,1.024,0.000,0.000,4.000,0.117,4.000,0.000,0.000,0.000,0.000,23792.969,806772.000,0.012,63507.452,0.081,437024.158,2778599596.000,403780380.000,3.864,487.587,16556.000,553553.527,18795910.000,0.000,0.000,NaN,NaN,0.000,0.000,1736.309,3492.000,0.000,0.000,484.777,16384.000,1110.000,1110.000,1.980,6.685,25.000,243.793,2270.586,2294.000,8278.000,0.000,244.131,8278.000,186.288,6358.000,0.000,0.000,0.000,0.000,0.000,0.000,23.416,7871.491,8140.147,7836.475,794.000,266080.000,275080.000,264818.000,2.297,183701.668,189579.944,182714.945,78.000,6210586.000,6408750.000,6176496.000,NaN,6.663,6.507,6.894,NaN,22.000,22.000,25.000,0.059,80.600,83.802,80.405,39.000,2279.114,2262.178,2272.442,48.000,2294.000,2294.000,2294.000,2.000,2725.000,2833.000,2718.000,0.059,80.614,83.834,80.431,2.000,2725.000,2833.000,2718.000,542481.240,18333696.000,1.024,0.000,0.000,0.000,0.000,484.791,16384.000
16384,1024,-1,"snappy",5,0,1000,6,1119.000,1119.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,1.024,0.000,0.000,4.000,0.115,4.000,0.000,0.000,0.000,0.000,23401.955,806642.000,0.012,56126.707,0.095,446852.300,3304919613.000,415113122.000,4.421,479.330,16546.000,544503.317,18795710.000,0.000,0.000,NaN,NaN,0.000,0.000,2026.187,4036.000,0.000,0.000,477.459,16384.000,1110.000,1110.000,1.982,7.451,233.000,239.665,2271.934,2294.000,8273.000,0.000,240.013,8273.000,213.344,7396.000,0.000,0.000,0.000,0.000,0.000,0.000,23.035,7784.343,7779.144,7919.911,794.000,267182.000,266918.000,271748.000,2.260,181583.748,181499.520,183799.552,78.000,6241215.000,6237594.000,6316823.000,NaN,7.006,7.828,7.519,NaN,233.000,233.000,233.000,0.058,79.425,79.260,81.966,39.000,2286.159,2289.866,2242.394,48.000,2294.000,2294.000,2294.000,2.000,2730.000,2724.000,2817.000,0.058,79.541,79.391,82.102,2.000,2730.000,2724.000,2817.000,534292.009,18333696.000,1.024,0.000,0.000,0.000,0.000,477.473,16384.000
16384,1024,-1,"snappy",5,1048576,0,1,81979.941,82141.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,4.000,0.131,4.000,0.000,0.000,0.000,0.000,95.674,2904.000,0.001,47913.165,0.009,520989.720,262578819.000,24148235.000,0.315,1.447,44.000,45863.104,1394697.000,0.000,0.000,NaN,NaN,0.000,0.000,87.941,127.000,0.000,0.000,543.182,16384.000,1110.000,1110.000,963.765,47.882,68.000,0.723,63395.318,82189.000,22.000,0.000,0.725,22.000,16.495,504.000,0.000,0.000,0.000,0.000,0.000,0.000,26.160,30.179,23.997,15.786,794.000,910.000,724.000,476.000,2.565,24447.956,16289.014,5447.811,78.000,737277.000,492987.000,164355.000,NaN,46.778,54.833,32.000,NaN,62.000,68.000,38.000,0.066,0.332,0.231,0.099,39.000,73727.700,70426.714,54785.000,48.000,82154.000,82189.000,82154.000,2.000,10.000,7.000,3.000,0.066,0.332,0.232,0.099,2.000,10.000,7.000,3.000,46205.789,1393659.000,0.082,0.000,0.000,0.000,0.000,543.200,16384.000
16384,1024,-1,"snappy",5,1048576,20,1,81978.706,82121.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,4.000,0.131,4.000,0.000,0.000,0.000,0.000,95.715,2904.000,0.001,40472.333,0.008,419674.268,233338893.000,22502617.000,0.296,1.448,44.000,45897.127,1394676.000,0.000,0.000,NaN,NaN,0.000,0.000,70.588,131.000,0.000,0.000,543.524,16384.000,1110.000,1110.000,963.765,54.118,72.000,0.724,63394.364,82169.000,22.000,0.000,0.725,22.000,18.216,556.000,0.000,0.000,0.000,0.000,0.000,0.000,26.171,21.970,26.068,21.968,794.000,662.000,786.000,662.000,2.567,13630.798,18950.193,13625.527,78.000,410805.000,572997.000,410796.000,NaN,56.800,58.429,45.400,NaN,72.000,72.000,55.000,0.066,0.199,0.265,0.199,39.000,68467.500,71624.625,68466.000,48.000,82160.000,82169.000,82151.000,2.000,6.000,8.000,6.000,0.066,0.199,0.265,0.199,2.000,6.000,8.000,6.000,46234.217,1393638.000,0.082,0.000,0.000,0.000,0.000,543.542,16384.000
16384,1024,-1,"snappy",5,1048576,1000,2,81978.471,82117.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,4.000,0.131,4.000,0.000,0.000,0.000,0.000,95.652,2904.000,0.001,36599.774,0.009,529243.287,269384833.000,18629285.000,0.316,1.447,44.000,45862.282,1394672.000,0.000,0.000,NaN,NaN,0.000,0.000,94.647,137.000,0.000,0.000,543.398,16384.000,1110.000,1110.000,963.765,48.941,67.000,0.723,63394.182,82165.000,22.000,0.000,0.725,22.000,16.654,509.000,0.000,0.000,0.000,0.000,0.000,0.000,26.153,28.135,21.952,19.905,794.000,848.000,662.000,600.000,2.565,21802.096,13583.388,10828.453,78.000,657246.000,410816.000,326532.000,NaN,51.875,51.400,40.000,NaN,67.000,63.000,49.000,0.066,0.299,0.198,0.166,39.000,73027.333,68469.333,65306.400,48.000,82152.000,82165.000,82158.000,2.000,9.000,6.000,5.000,0.066,0.299,0.199,0.166,2.000,9.000,6.000,5.000,46223.350,1393634.000,0.082,0.000,0.000,0.000,0.000,543.398,16384.000
16384,1024,-1,"snappy",5,5000000,0,1,346867.500,389839.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,4.000,0.130,4.000,0.000,0.000,0.000,0.000,68.506,2098.000,0.001,560615.133,0.014,14866583.633,445997509.000,16818454.000,0.581,0.815,25.000,45247.742,1387884.000,0.000,0.000,NaN,NaN,0.000,0.000,185.250,373.000,0.000,0.000,539.391,16384.000,1110.000,1110.000,4096.000,255.250,342.000,0.293,154209.333,389887.000,9.000,0.000,0.294,9.000,0.973,30.000,0.000,0.000,0.000,0.000,0.000,0.000,25.927,13.636,15.677,13.605,794.000,414.000,476.000,414.000,2.543,12841.951,20021.370,12775.069,78.000,389933.000,608029.000,389844.000,NaN,295.000,192.000,342.000,NaN,295.000,301.000,342.000,0.065,0.066,0.099,0.066,39.000,194966.500,202676.333,194922.000,48.000,389885.000,389887.000,389796.000,2.000,2.000,3.000,2.000,0.065,0.066,0.099,0.066,2.000,2.000,3.000,2.000,45679.529,1387470.000,0.082,0.000,0.000,0.000,0.000,539.409,16384.000
16384,1024,-1,"snappy",5,5000000,20,2,346871.500,389841.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,3.000,0.098,3.000,0.000,0.000,0.000,0.000,57.470,1746.000,0.001,569534.600,0.010,10518595.300,315557859.000,17086038.000,0.336,0.789,24.000,45609.517,1387852.000,0.000,0.000,NaN,NaN,0.000,0.000,65.750,101.000,0.000,0.000,542.427,16384.000,1110.000,1110.000,4096.000,104.750,131.000,0.263,173481.500,389889.000,8.000,0.000,0.263,8.000,0.981,30.000,0.000,0.000,0.000,0.000,0.000,0.000,26.135,15.765,15.753,794.000,476.000,476.000,2.563,20135.832,25753.658,78.000,608082.000,779692.000,NaN,93.000,116.500,NaN,127.000,131.000,0.066,0.099,0.099,39.000,202694.000,259897.333,48.000,389887.000,389889.000,2.000,3.000,3.000,0.066,0.099,0.099,2.000,3.000,3.000,45937.161,1387486.000,0.082,0.000,0.000,0.000,0.000,542.445,16384.000
16384,1024,-1,"snappy",5,5000000,1000,1,346862.500,389842.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,0.082,0.000,0.000,3.000,0.098,3.000,0.000,0.000,0.000,0.000,57.396,1746.000,0.000,402652.968,0.011,10605572.613,328772751.000,12482242.000,0.374,0.756,23.000,45614.330,1387816.000,0.000,0.000,NaN,NaN,0.000,0.000,126.500,168.000,0.000,0.000,542.732,16384.000,1110.000,1110.000,4096.000,95.500,117.000,0.263,173477.000,389890.000,8.000,0.000,0.263,8.000,1.014,31.000,0.000,0.000,0.000,0.000,0.000,0.000,26.101,15.764,15.773,794.000,476.000,476.000,2.564,20075.127,25835.641,78.000,607915.000,779823.000,NaN,90.000,101.000,NaN,117.000,107.000,0.066,0.099,0.099,39.000,202638.333,259941.000,48.000,389771.000,389890.000,2.000,3.000,3.000,0.066,0.099,0.099,2.000,3.000,3.000,45961.838,1387450.000,0.082,0.000,0.000,0.000,0.000,542.750,16384.000
16384,1024,-1,"snappy",10,0,0,4,1119.000,1119.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,1.024,0.000,0.000,4.000,0.122,4.000,0.000,0.000,0.000,0.000,24744.274,807084.000,0.010,48151.597,0.051,244729.966,1659758630.000,326564129.000,2.565,508.246,16580.000,576169.880,18796390.000,0.000,0.000,NaN,NaN,0.000,0.000,1087.806,2248.000,0.000,0.000,504.092,16384.000,1110.000,1110.000,1.978,8.544,22.000,254.123,2267.357,2294.000,8290.000,0.000,254.162,8290.000,206.983,6782.000,0.000,0.000,0.000,0.000,0.000,0.000,24.344,8347.489,8225.360,8236.091,794.000,271260.000,267390.000,267640.000,2.391,194214.980,191976.347,191978.836,78.000,6313929.000,6241535.000,6240848.000,NaN,8.149,8.914,8.580,NaN,21.000,22.000,22.000,0.061,86.155,84.212,84.564,39.000,2254.170,2279.596,2270.225,48.000,2294.000,2294.000,2294.000,2.000,2801.000,2738.000,2749.000,0.061,86.195,84.225,84.595,2.000,2801.000,2738.000,2749.000,564113.723,18333696.000,1.024,0.000,0.000,0.000,0.000,504.123,16384.000
16384,1024,-1,"snappy",10,0,20,4,1119.000,1119.000,0.000,0.000,33554432.000,0.000,0.000,33554432.000,0.000,0.000,1.024,0.000,0.000,4.000,0.121,4.000,0.000,0.000,0.000,0.000,24524.821,806278.000,0.010,46740.090,0.059,266218.195,1946853663.000,341810276.000,2.831,501.701,16518.000,570864.719,18795150.000,0.000,0.000,NaN,NaN,0.000,0.000,1128.190,2329.000,0.000,0.000,501.270,16384.000,1110.000,1110.000,1.985,8.565,221.000,250.850,2275.717,2294.000,8259.000,0.000,251.217,8259.000,221.157,7313.000,0.000,0.000,0.000,0.000,0.000,0.000,24.152,8233.469,8307.871,8103.485,794.000,269078.000,271576.000,264830.000,2.369,191516.978,193176.745,188746.270,78.000,6277352.000,6331561.000,6186159.000,NaN,7.972,9.323,8.389,NaN,21.000,221.000,23.000,0.061,84.203,85.151,82.563,39.000,2274.403,2268.564,2286.090,48.000,2294.000,2294.000,2294.000,2.000,2760.000,2791.000,2706.000,0.061,84.453,85.380,82.800,2.000,2760.000,2791.000,2706.000,560937.951,18333696.000,1.024,0.000,0.000,0.000,0.000,501.285,16384.000
