records,size_b,acks,compression,inflight,batch_b,linger_ms,time_ms,records_persec,mb_persec,latency_avg_ms,latency_max_ms,latency_50th_ms,latency_95th_ms,latency_99th_ms,latency_999th_ms,producer_batch-size-avg,producer_batch-size-max,producer_batch-split-rate,producer_batch-split-total,producer_buffer-available-bytes,producer_buffer-exhausted-rate,producer_buffer-exhausted-total,producer_buffer-total-bytes,producer_bufferpool-wait-ratio,producer_bufferpool-wait-time-total,producer_compression-rate-avg,producer_connection-close-rate,producer_connection-close-total,producer_connection-count,producer_connection-creation-rate,producer_connection-creation-total,producer_incoming-byte-rate,producer_incoming-byte-total,producer_io-ratio,producer_io-time-ns-avg,producer_io-wait-ratio,producer_io-wait-time-ns-avg,producer_io-waittime-total,producer_iotime-total,producer_metadata-age,producer_network-io-rate,producer_network-io-total,producer_outgoing-byte-rate,producer_outgoing-byte-total,producer_produce-throttle-time-avg,producer_produce-throttle-time-max,producer_record-error-rate,producer_record-error-total,producer_record-queue-time-avg,producer_record-queue-time-max,producer_record-retry-rate,producer_record-retry-total,producer_record-send-rate,producer_record-send-total,producer_record-size-avg,producer_record-size-max,producer_records-per-request-avg,producer_request-latency-avg,producer_request-latency-max,producer_request-rate,producer_request-size-avg,producer_request-size-max,producer_request-total,producer_requests-in-flight,producer_response-rate,producer_response-total,producer_select-rate,producer_select-total,producer_waiting-threads,producer-node_incoming-byte-rate_1,producer-node_incoming-byte-rate_2,producer-node_incoming-byte-rate_3,producer-node_incoming-byte-total_1,producer-node_incoming-byte-total_2,producer-node_incoming-byte-total_3,producer-node_outgoing-byte-rate_1,producer-node_outgoing-byte-rate_2,producer-node_outgoing-byte-rate_3,producer-node_outgoing-byte-total_1,producer-node_outgoing-byte-total_2,producer-node_outgoing-byte-total_3,producer-node_request-latency-avg_1,producer-node_request-latency-avg_2,producer-node_request-latency-avg_3,producer-node_request-latency-max_1,producer-node_request-latency-max_2,producer-node_request-latency-max_3,producer-node_request-rate_1,producer-node_request-rate_2,producer-node_request-rate_3,producer-node_request-size-avg_1,producer-node_request-size-avg_2,producer-node_request-size-avg_3,producer-node_request-size-max_1,producer-node_request-size-max_2,producer-node_request-size-max_3,producer-node_request-total_1,producer-node_request-total_2,producer-node_request-total_3,producer-node_response-rate_1,producer-node_response-rate_2,producer-node_response-rate_3,producer-node_response-total_1,producer-node_response-total_2,producer-node_response-total_3,producer-topic_byte-rate,producer-topic_byte-total,producer-topic_compression-rate,producer-topic_record-error-rate,producer-topic_record-error-total,producer-topic_record-retry-rate,producer-topic_record-retry-total,producer-topic_record-send-rate,producer-topic_record-send-total
51200,10240,-1,snappy,1,9437184,0,7270,7863.61542,76.79,314.79,1139,264,610,1131,1135,3785429.146,8886216,0,0,33554432,0,0,33554432,0.157,5618585946,0.649,0,0,4,0.11,4,214.789,7802,0.023,289909.141,0.133,1663136.422,4869663443,848853964,6.274,5.561,202,10004295.334,363406028,0,0,0,0,61.688,853,0,0,1414.443,51200,10327,10327,533.333,127.719,382,2.78,3598079.485,8886264,101,0,2.781,101,80.191,2928,0,64.609,69.642,59.504,2336,2522,2150,2953945.546,3006602.198,4086115.892,106864888,108881092,147659970,106.406,108.914,173.931,317,382,359,0.912,0.994,0.83,3238329.939,3024474.778,4921999,8886264,8857293,8836788,33,36,30,0.913,0.994,0.83,33,36,30,10039539.133,363401198,0.649,0,0,0,0,1414.482,51200
51200,10240,-1,snappy,1,9437184,20,6560,8855.067451,86.48,277.98,694,243,563,666,668,5631639.267,8944155,0,0,33554432,0,0,33554432,0.139,4885973961,0.664,0,0,4,0.112,4,156.496,5570,0.021,403208.678,0.119,2265825.113,4268814513,759645150,5.544,3.652,130,9493480.684,337901458,0,0,0,0,67.383,316,0,0,1444.328,51200,10327,10327,853.333,198.033,378,1.826,5198483.969,8944203,65,0,1.826,65,52.642,1884,0,43.185,44.882,46.923,1530,1592,1654,2892561.759,3238794.339,3419489.603,102477678,114883274,120540428,170.263,209.35,212.381,295,363,378,0.565,0.592,0.624,5123883.9,5470632.095,5479110.364,8602897,8836790,8944203,20,21,22,0.565,0.592,0.624,20,21,22,9532226.247,337898356,0.664,0,0,0,0,1444.369,51200
51200,10240,-1,snappy,1,9437184,150,6888,8351.003099,81.55,308.22,749,301,532,633,637,6050376.931,9041327,0,0,33554432,0,0,33554432,0.152,5396961505,0.68,0,0,4,0.111,4,151.505,5446,0.024,475705.865,0.124,2448803.572,4496003359,873395968,5.895,3.505,126,9762013.686,350924868,0,0,0,0,59.138,339,0,0,1430.567,51200,10327,10327,882.759,239.448,420,1.753,5570236,9041375,63,0,1.753,63,50.805,1836,0,47.047,39.298,44.449,1654,1406,1592,3209119.24,3412450.808,3239176.039,112819796,122090665,116014329,193.095,292.176,243.3,291,420,407,0.626,0.503,0.586,5128172.545,6782814.722,5524491.857,9041375,8991899,8734117,22,18,21,0.626,0.503,0.586,22,18,21,9805299.45,350921862,0.68,0,0,0,0,1430.607,51200
51200,10240,-1,snappy,1,9437184,1000,6525,8873.483536,86.66,289.35,682,270,478,593,594,5976724.536,9041326,0,0,33554432,0,0,33554432,0.14,4909270511,0.636,0,0,4,0.112,4,149.553,5322,0.022,458450.564,0.118,2414180.528,4222401743,801830037,5.538,3.428,122,9405105.347,334699484,0,0,0,0,59.732,301,0,0,1444.858,51200,10327,10327,914.286,223.804,411,1.714,5486876.787,9041374,61,0,1.714,61,48.885,1749,0,44.894,44.949,37.947,1592,1592,1344,3152067.144,3581096.332,2712735.799,111775453,126838851,96085102,191.85,242.8,240,362,411,396,0.592,0.593,0.48,5322640.619,6039945.286,5652064.824,9041374,8991899,9041374,21,21,17,0.592,0.593,0.48,21,21,17,9445366.841,334696574,0.636,0,0,0,0,1444.899,51200
51200,10240,-1,snappy,5,0,0,11962,4577.968526,44.71,659.36,811,664,775,796,808,10337,10337,0,0,33554432,0,0,33554432,0.221,9023331348,1.002,0,0,4,0.097,4,61322.555,2514654,0.023,22157.118,0.187,181645.032,7712466412,940769081,10.959,1256.322,51518,12941555.881,530694382,0,0,0,0,652.883,805,0,0,1252.109,51200,10327,10327,1.988,6.259,19,628.161,20602.29,20730,25759,0,628.161,25759,1030.683,42459,0,20568.173,20646.078,20259.294,841156,844342,828362,4345534.831,4356473.409,4274563.467,177719338,178166693,174808273,6.215,6.234,6.331,18,19,17,210.26,211.8,207.752,20667.442,20568.771,20575.362,20730,20730,20730,8599,8662,8496,210.265,211.806,207.787,8599,8662,8496,12943053.484,529254400,1.002,0,0,0,0,1252.109,51200
51200,10240,-1,snappy,5,0,20,11947,4573.061808,44.66,656.3,885,677,811,860,879,10337,10337,0,0,33554432,0,0,33554432,0.219,8931658487,1.002,0,0,4,0.097,4,61279.395,2513068,0.023,22524.665,0.186,180710.572,7668814551,955879213,10.957,1253.255,51396,12940549.671,530691942,0,0,0,0,649.857,879,0,0,1252.048,51200,10327,10327,1.993,6.227,23,626.628,20651.099,20730,25698,0,626.628,25698,1030.024,42437,0,20373.303,20552.217,20511.776,833044,840524,838706,4306085.632,4337247.806,4332968.701,176101678,177389098,177201088,6.188,6.194,6.297,23,22,23,207.918,210.739,209.654,20710.535,20581.169,20667.26,20730,20730,20730,8503,8619,8574,207.953,210.749,209.69,8503,8619,8574,12942736.966,529254400,1.002,0,0,0,0,1252.079,51200
51200,10240,-1,snappy,5,0,150,11865,4610.535795,45.02,653.31,870,668,790,843,864,10337,10337,0,0,33554432,0,0,33554432,0.219,8907750458,1.002,0,0,4,0.097,4,61430.233,2513848,0.023,22215.137,0.184,177909.681,7572013930,945498455,10.875,1257.386,51456,12968089.876,530693142,0,0,0,0,646.89,863,0,0,1254.502,51200,10327,10327,1.99,6.202,25,628.693,20627.066,20730,25728,0,628.708,25728,1035.195,42561,0,20371.022,20645.838,20560.024,831484,842536,839034,4304002.327,4359504.68,4337838.107,175697983,177937543,177057538,6.201,6.172,6.231,24,24,25,208.142,211.26,210.844,20677.649,20635.225,20573.732,20730,20730,20730,8497,8623,8606,208.173,211.301,210.885,8497,8623,8606,12968107.419,529254400,1.002,0,0,0,0,1254.533,51200
51200,10240,-1,snappy,5,0,1000,11820,4628.876232,45.2,653.49,814,662,784,799,811,10337,10337,0,0,33554432,0,0,33554432,0.219,8915146314,1.002,0,0,4,0.097,4,61496.93,2514056,0.023,22095.597,0.185,178513.574,7615746104,942642347,10.836,1259.038,51472,12981103.224,530693462,0,0,0,0,647.071,808,0,0,1255.702,51200,10327,10327,1.99,6.205,23,629.519,20620.666,20730,25736,0,629.519,25736,1038.738,42662,0,20591.562,20633.162,20416.156,839518,841214,832530,4348420.016,4354540.133,4310932.938,177315523,177565083,175812778,6.165,6.184,6.266,23,16,16,210.658,211.443,208.96,20642.086,20594.419,20630.46,20730,20730,20730,8590,8622,8522,210.699,211.479,208.985,8590,8622,8522,12980511.613,529254400,1.002,0,0,0,0,1255.764,51200
51200,10240,-1,snappy,5,16384,0,11822,4627.202892,45.19,417.57,571,421,533,550,566,10337,10337,0,0,33554432,0,0,33554432,0.231,9394020143,1.002,0,0,4,0.097,4,61467.847,2512990,0.023,21813.955,0.188,181532.356,7736909023,929710773,10.836,1256.971,51390,12980428.089,530691822,0,0,0,0,411.149,564,0,0,1255.795,51200,10327,10327,1.993,6.2,19,628.485,20653.505,20730,25695,0,628.501,25695,1037.665,42620,0,20583.186,20625.031,20410.017,839300,840800,832096,4344772.5,4357504.979,4313276.468,177171133,177646763,175873848,6.155,6.165,6.281,19,17,19,210.923,210.827,208.387,20598.899,20668.617,20698.346,20730,20730,20730,8601,8595,8497,210.938,210.843,208.423,8601,8595,8497,12981148.365,529254400,1.002,0,0,0,0,1255.795,51200
51200,10240,-1,snappy,5,16384,20,11800,4639.78251,45.31,413.17,666,409,602,652,661,10337,10337,0,0,33554432,0,0,33554432,0.228,9251967624,1.002,0,0,4,0.097,4,61526.817,2513432,0.023,22074.09,0.187,179037.875,7679829657,946868110,10.797,1258.788,51424,12990612.504,530692502,0,0,0,0,406.832,660,0,0,1256.966,51200,10327,10327,1.992,6.122,20,629.394,20639.876,20730,25712,0,629.409,25712,1045.251,42895,0,20580.176,20525.063,20582.857,838210,836150,838278,4344557.601,4337991.777,4345160.893,176984243,176734123,176974058,6.084,6.093,6.189,18,18,20,210.712,209.563,210.857,20617.922,20699.71,20607.133,20730,20730,20730,8584,8538,8588,210.759,209.583,210.867,8584,8538,8588,12993577.531,529254400,1.002,0,0,0,0,1256.997,51200
51200,10240,-1,snappy,5,16384,150,11955,4576.74086,44.69,415.34,767,400,641,749,762,10337,10337,0,0,33554432,0,0,33554432,0.228,9293757052,1.002,0,0,4,0.097,4,61359.151,2516032,0.024,22832.836,0.189,180991.065,7768317522,980008164,10.958,1258.907,51624,12941607.579,530696502,0,0,0,0,408.966,761,0,0,1252.048,51200,10327,10327,1.984,6.152,22,629.454,20560.069,20730,25812,0,629.484,25812,1041.848,42921,0,20503.692,20300.262,20703.333,838560,830098,846580,4326461.514,4291171.891,4358463.812,176943623,175500348,178252453,6.134,6.142,6.179,20,20,22,210.353,207.101,213.629,20567.665,20720.23,20402.02,20730,20730,20730,8603,8470,8737,210.358,207.141,213.671,8603,8470,8737,12942420.463,529254400,1.002,0,0,0,0,1252.048,51200
51200,10240,-1,snappy,5,16384,1000,11782,4646.941369,45.38,414.82,597,422,520,575,593,10337,10337,0,0,33554432,0,0,33554432,0.229,9314728362,1.002,0,0,4,0.098,4,61597.806,2515408,0.023,21961.202,0.186,177704.645,7650184985,945429740,10.786,1262.972,51576,12995458.579,530695542,0,0,0,0,408.439,592,0,0,1257.398,51200,10327,10327,1.986,6.156,40,631.486,20579.166,20730,25788,0,631.486,25788,1049.309,43050,0,20585.355,20698.35,20472.099,838318,842754,833542,4350098.053,4359867.225,4321870.884,177149043,177546873,175999548,6.125,6.114,6.23,40,33,35,210.348,213.246,209.611,20680.486,20445.287,20618.504,20730,20730,20730,8566,8684,8536,210.348,213.287,209.647,8566,8684,8536,12998045.091,529254400,1.002,0,0,0,0,1257.429,51200
51200,10240,-1,snappy,5,1048576,0,5879,10003.907776,97.69,366.42,1004,117,903,988,1001,634589.825,1041060,0,0,33554432,0,0,33554432,0.117,4070864694,0.607,0,0,4,0.114,4,1014.914,35454,0.008,36454.799,0.108,513950.932,3807862453,270093607,4.875,31.317,1094,9846675.722,343973923,0,0,0,0,235.255,946,0,0,1470.842,51200,10327,10327,94.465,34.011,69,15.659,628837.154,1041108,547,0,15.659,547,210.926,7409,0,325.282,322.026,348.831,11326,11202,12132,805736.774,4408587.177,4671824.7,28054143,153405608,162514094,10.932,45.937,44.526,64,69,64,5.112,5.058,5.491,157607.545,871622.773,850859.131,972915,1041108,1020603,178,176,191,5.112,5.06,5.492,178,176,191,9880998.736,343947685,0.607,0,0,0,0,1470.884,51200
51200,10240,-1,snappy,5,1048576,20,5766,10217.521453,99.78,358.45,1289,102,1031,1181,1267,855405.641,1041060,0,0,33554432,0,0,33554432,0.114,3953426492,0.657,0,0,4,0.114,4,777.628,27084,0.007,49127.365,0.108,729931.452,3791263963,255167532,4.781,23.658,824,9996550.403,348169854,0,0,0,0,295.747,1198,0,0,1475.377,51200,10327,10327,125.799,55.373,82,11.829,845072.461,1041108,412,0,11.829,412,148.319,5194,0,249.632,262.143,245.838,8660,9094,8536,3212734.06,3465682.52,3354707.333,111456170,120231458,116482148,48.425,57.631,60.015,76,81,82,3.891,4.093,3.83,825601.259,846700.408,875805.624,1020603,1041108,1020605,135,142,133,3.891,4.093,3.83,135,142,133,10032854.846,348150096,0.657,0,0,0,0,1475.462,51200
