success,size,topic,acks,compression,inflight,batch,linger,time,rate,latency
1,8192,test-snappy,-1,snappy,1,0,150,8818,31.84,875.04
1,8192,test-snappy,-1,snappy,1,0,200,8735,32.11,859.91
1,8192,test-snappy,-1,snappy,1,0,300,8752,31.99,874.61
1,8192,test-snappy,-1,snappy,1,0,500,8846,31.62,881.38
1,8192,test-snappy,-1,snappy,1,0,700,8628,32.00,872.48
1,8192,test-snappy,-1,snappy,1,0,1000,8714,32.21,865.30
1,8192,test-snappy,-1,snappy,1,512,0,8823,31.66,871.72
1,8192,test-snappy,-1,snappy,1,512,20,8578,32.23,863.64
1,8192,test-snappy,-1,snappy,1,512,50,8814,31.70,874.60
1,8192,test-snappy,-1,snappy,1,512,100,8616,32.62,863.29
1,8192,test-snappy,-1,snappy,1,512,150,8657,31.80,867.48
1,8192,test-snappy,-1,snappy,1,512,200,8745,32.12,867.39
1,8192,test-snappy,-1,snappy,1,512,300,8666,32.43,859.58
1,8192,test-snappy,-1,snappy,1,512,500,8748,31.94,868.86
1,8192,test-snappy,-1,snappy,1,512,700,8761,31.96,869.23
1,8192,test-snappy,-1,snappy,1,512,1000,8677,32.28,865.11
1,8192,test-snappy,-1,snappy,1,1024,0,8636,32.00,865.09
1,8192,test-snappy,-1,snappy,1,1024,20,8777,31.86,875.74
1,8192,test-snappy,-1,snappy,1,1024,50,8688,32.26,860.32
1,8192,test-snappy,-1,snappy,1,1024,100,8644,32.35,856.68
1,8192,test-snappy,-1,snappy,1,1024,150,8665,32.37,861.45
1,8192,test-snappy,-1,snappy,1,1024,200,8766,32.04,863.57
1,8192,test-snappy,-1,snappy,1,1024,300,8706,31.88,867.79
1,8192,test-snappy,-1,snappy,1,1024,500,8703,32.19,859.83
1,8192,test-snappy,-1,snappy,1,1024,700,8751,32.02,876.97
1,8192,test-snappy,-1,snappy,1,1024,1000,8645,31.93,861.71
1,8192,test-snappy,-1,snappy,1,8192,0,8683,32.28,861.13
1,8192,test-snappy,-1,snappy,1,8192,20,8645,32.44,864.42
1,8192,test-snappy,-1,snappy,1,8192,50,8787,31.27,869.54
1,8192,test-snappy,-1,snappy,1,8192,100,8775,31.89,858.27
1,8192,test-snappy,-1,snappy,1,8192,150,8707,32.25,865.83
1,8192,test-snappy,-1,snappy,1,8192,200,8599,31.57,871.75
1,8192,test-snappy,-1,snappy,1,8192,300,8772,31.94,870.23
1,8192,test-snappy,-1,snappy,1,8192,500,8664,32.43,862.11
1,8192,test-snappy,-1,snappy,1,8192,700,8649,31.77,863.57
1,8192,test-snappy,-1,snappy,1,8192,1000,8744,32.03,870.07
1,8192,test-snappy,-1,snappy,1,16384,0,8517,32.97,443.23
1,8192,test-snappy,-1,snappy,1,16384,20,8634,32.56,445.73
1,8192,test-snappy,-1,snappy,1,16384,50,8664,32.42,448.90
1,8192,test-snappy,-1,snappy,1,16384,100,8607,32.56,445.99
1,8192,test-snappy,-1,snappy,1,16384,150,8708,32.17,452.08
1,8192,test-snappy,-1,snappy,1,16384,200,8816,31.75,453.07
1,8192,test-snappy,-1,snappy,1,16384,300,8676,32.31,449.78
1,8192,test-snappy,-1,snappy,1,16384,500,8608,32.56,447.35
1,8192,test-snappy,-1,snappy,1,16384,700,8649,32.51,447.77
1,8192,test-snappy,-1,snappy,1,16384,1000,8594,32.73,446.00
1,8192,test-snappy,-1,snappy,1,32768,0,2733,128.58,350.26
1,8192,test-snappy,-1,snappy,1,32768,20,2750,127.43,350.62
1,8192,test-snappy,-1,snappy,1,32768,50,2783,125.74,349.61
1,8192,test-snappy,-1,snappy,1,32768,100,2773,126.36,358.48
1,8192,test-snappy,-1,snappy,1,32768,150,2771,126.17,346.77
1,8192,test-snappy,-1,snappy,1,32768,200,2740,128.45,351.32
1,8192,test-snappy,-1,snappy,1,32768,300,2800,124.63,353.19
1,8192,test-snappy,-1,snappy,1,32768,500,2746,127.62,352.54
1,8192,test-snappy,-1,snappy,1,32768,700,2771,126.23,355.90
1,8192,test-snappy,-1,snappy,1,32768,1000,2743,128.58,356.02
1,8192,test-snappy,-1,snappy,1,65536,0,2355,158.22,305.20
1,8192,test-snappy,-1,snappy,1,65536,20,2423,154.31,308.70
1,8192,test-snappy,-1,snappy,1,65536,50,2403,154.12,302.79
1,8192,test-snappy,-1,snappy,1,65536,100,2317,162.23,300.30
1,8192,test-snappy,-1,snappy,1,65536,150,2370,157.93,304.66
1,8192,test-snappy,-1,snappy,1,65536,200,2329,160.80,295.95
1,8192,test-snappy,-1,snappy,1,65536,300,2420,154.59,301.73
1,8192,test-snappy,-1,snappy,1,65536,500,2411,153.57,310.21
1,8192,test-snappy,-1,snappy,1,65536,700,2410,155.34,308.42
1,8192,test-snappy,-1,snappy,1,65536,1000,2410,156.00,304.56
1,8192,test-snappy,-1,snappy,1,131072,0,2200,177.16,267.44
1,8192,test-snappy,-1,snappy,1,131072,20,2168,179.27,280.93
1,8192,test-snappy,-1,snappy,1,131072,50,2175,179.15,270.11
1,8192,test-snappy,-1,snappy,1,131072,100,2132,183.91,267.21
1,8192,test-snappy,-1,snappy,1,131072,150,2142,182.73,270.16
1,8192,test-snappy,-1,snappy,1,131072,200,2129,183.91,272.66
1,8192,test-snappy,-1,snappy,1,131072,300,2179,180.03,275.36
1,8192,test-snappy,-1,snappy,1,131072,500,2149,182.08,269.09
1,8192,test-snappy,-1,snappy,1,131072,700,2199,175.82,282.61
1,8192,test-snappy,-1,snappy,1,131072,1000,2167,179.65,263.32
1,8192,test-snappy,-1,snappy,1,524288,0,2172,180.66,227.80
1,8192,test-snappy,-1,snappy,1,524288,20,2156,180.79,231.39
1,8192,test-snappy,-1,snappy,1,524288,50,2048,199.69,214.67
1,8192,test-snappy,-1,snappy,1,524288,100,2021,202.69,209.06
1,8192,test-snappy,-1,snappy,1,524288,150,2040,200.63,203.23
1,8192,test-snappy,-1,snappy,1,524288,200,2064,198.14,213.05
1,8192,test-snappy,-1,snappy,1,524288,300,2078,196.02,218.37
1,8192,test-snappy,-1,snappy,1,524288,500,1994,204.64,204.47
